dt_name,Officer_Count
11-AgegeINJ-T1-Iju Road-18 FAGBA STR HVDS,1
11-AgegeINJ-T1-Iju Road-183 IJU ROAD HVDS,1
11-AgegeINJ-T1-Iju Road-2 MODELE CLOSE,1
11-AgegeINJ-T1-Iju Road-2 TAQWA CRESCENT,1
11-AgegeINJ-T1-Iju Road-21 AJILETE STREET,1
11-AgegeINJ-T1-Iju Road-21 ALADE CLOSE (2) HVDS,1
11-AgegeINJ-T1-Iju Road-22 NELSON COLE HVDS,1
11-AgegeINJ-T1-Iju Road-22 ONIKOYI SAVAGE HVDS,1
11-AgegeINJ-T1-Iju Road-23 AFRICAN CHURCH RD,3
11-AgegeINJ-T1-Iju Road-23 OLUFEMI AJAYI STREET,1
11-AgegeINJ-T1-Iju Road-24 DADDY SAVAGE HVDS,1
11-AgegeINJ-T1-Iju Road-25 COLLEGE ROAD,1
11-AgegeINJ-T1-Iju Road-27 ALADE CLOSE (2) HVDS,1
11-AgegeINJ-T1-Iju Road-27 DADDY SAVAGE HVDS,1
11-AgegeINJ-T1-Iju Road-27A AFRICAN CHURCH ROAD,2
11-AgegeINJ-T1-Iju Road-27B AFRICAN CHURCH,1
11-AgegeINJ-T1-Iju Road-28 PA ALAO HVDS,1
11-AgegeINJ-T1-Iju Road-2A FAGBA STR HVDS,1
11-AgegeINJ-T1-Iju Road-2B COLLEGE ROAD,1
11-AgegeINJ-T1-Iju Road-3 AKINFEMI SAVAGE HVDS,1
11-AgegeINJ-T1-Iju Road-3 BEN OLAKUNLE HVDS,1
11-AgegeINJ-T1-Iju Road-3 DADDY SAVAGE HVDS,1
11-AgegeINJ-T1-Iju Road-3 ONUORAH CLOSE HVDS,1
11-AgegeINJ-T1-Iju Road-3 PRINCE DUROTOYE HVDS,1
11-AgegeINJ-T1-Iju Road-3 TUNJI ADEBAYO HVDS,1
11-AgegeINJ-T1-Iju Road-30 DADDY SAVAGE HVDS,1
11-AgegeINJ-T1-Iju Road-31 OLUFEMI AJAYI STREET,1
11-AgegeINJ-T1-Iju Road-31 ONIKOYI SAVAGE HVDS,1
11-AgegeINJ-T1-Iju Road-35 OLUFEMI AJAYI STREET,1
11-AgegeINJ-T1-Iju Road-37 PA ALAO HVDS,1
11-AgegeINJ-T1-Iju Road-4 ALADE CLOSE (1) HVDS,1
11-AgegeINJ-T1-Iju Road-4 IYABO WILLIAMS HVDS,1
11-AgegeINJ-T1-Iju Road-4 SEGUN FINNIH HVDS,1
11-AgegeINJ-T1-Iju Road-44 IJU ROAD,3
11-AgegeINJ-T1-Iju Road-44 IJU ROAD (OKE ONA) HVDS,1
11-AgegeINJ-T1-Iju Road-47 PA ALAO HVDS,1
11-AgegeINJ-T1-Iju Road-47B IJU ROAD,1
11-AgegeINJ-T1-Iju Road-5 AYANLEYE HVDS,1
11-AgegeINJ-T1-Iju Road-5 COLLEGE ROAD,1
11-AgegeINJ-T1-Iju Road-5 LAYO ADENIYI HVDS,1
11-AgegeINJ-T1-Iju Road-5 OLUFEMI AJAYI STREET,1
11-AgegeINJ-T1-Iju Road-5 ONIKOYI SAVAGE HVDS,1
11-AgegeINJ-T1-Iju Road-5 RASHEED BARBARA HVDS,1
11-AgegeINJ-T1-Iju Road-52 IJU ROAD,1
11-AgegeINJ-T1-Iju Road-6 AKINBO SAVAGE HVDS,1
11-AgegeINJ-T1-Iju Road-6 NELSON COLE HVDS,1
11-AgegeINJ-T1-Iju Road-6 SANDS AVENUE,2
11-AgegeINJ-T1-Iju Road-60 IJU ROAD HVDS,1
11-AgegeINJ-T1-Iju Road-66 IJU ROAD HVDS,1
11-AgegeINJ-T1-Iju Road-7 AKINFEMI SAVAGE HVDS,1
11-AgegeINJ-T1-Iju Road-7 ALAFIA HVDS,1
11-AgegeINJ-T1-Iju Road-7 JOSEPH CAMBELL,1
11-AgegeINJ-T1-Iju Road-74 DADDY SAVAGE HVDS,1
11-AgegeINJ-T1-Iju Road-76 IJU ROAD HVDS,1
11-AgegeINJ-T1-Iju Road-78 IJU ROAD HVDS,1
11-AgegeINJ-T1-Iju Road-8 AKINLADE SAVAGE HVDS,1
11-AgegeINJ-T1-Iju Road-8 NELSON COLE HVDS,1
11-AgegeINJ-T1-Iju Road-84 IJU ROAD HVDS,1
11-AgegeINJ-T1-Iju Road-86 IJU ROAD HVDS,1
11-AgegeINJ-T1-Iju Road-88 IJU ROAD HVDS,1
11-AgegeINJ-T1-Iju Road-9 AJILETE STREET,1
11-AgegeINJ-T1-Iju Road-9 MCMADU CLOSE HVDS,1
11-AgegeINJ-T1-Iju Road-9 OLUFEMI AJAYI STREET,1
11-AgegeINJ-T1-Iju Road-9 ONUORAH CLOSE HVDS,1
11-AgegeINJ-T1-Iju Road-9 PA ALAO HVDS,1
11-AgegeINJ-T1-Iju Road-94 IJU ROAD HVDS,1
11-AgegeINJ-T1-Iju Road-ABIOLA FAGBOLA HVDS,1
11-AgegeINJ-T1-Iju Road-ABUNDANT LIFE CHURCH 1,1
11-AgegeINJ-T1-Iju Road-ABUNDANT LIFE CHURCH 2,2
11-AgegeINJ-T1-Iju Road-AFRICANUS WILLIAMS CRESCENT (1) HVDS,1
11-AgegeINJ-T1-Iju Road-AFRICANUS WILLIAMS CRESCENT (2) HVDS,1
11-AgegeINJ-T1-Iju Road-AFRICANUS WILLIAMS CRESCENT (3) HVDS,1
11-AgegeINJ-T1-Iju Road-EZEKIEL B/STOP HVDS,1
11-AgegeINJ-T1-Iju Road-HARMONY 1,1
11-AgegeINJ-T1-Iju Road-HOLY MARY 2 HVDS,1
11-AgegeINJ-T1-Iju Road-IMOLA EST 1,1
11-AgegeINJ-T1-Iju Road-IMOLA EST 2,2
11-AgegeINJ-T1-Iju Road-LADIPO SAVAGE 2 HVDS,1
11-AgegeINJ-T1-Iju Road-MRS UBENG INYANG,1
11-AgegeINJ-T1-Iju Road-ODUMOSU,3
11-AgegeINJ-T1-Iju Road-OLOWOGBOWO CL HVDS,1
"11-AgegeINJ-T1-Iju Road-ROLAM SCHOOL, 52 IJU ROAD",1
11-AgegeINJ-T1-Iju Road-SAND CLOSE 4,1
11-AgegeINJ-T1-Iju Road-TUNJI AKINWANDE CLOSE 1 HVDS,1
11-AgegeINJ-T1-Oko Oba-1 OGUNSETAN 4,2
11-AgegeINJ-T1-Oko Oba-DAYO KUYE,1
11-AgegeINJ-T1-Oko Oba-HVDS OLD ABEOKUTA MOTOR RD 1,1
11-AgegeINJ-T1-Oko Oba-HVDS OLD ABEOKUTA MOTOR RD 2,1
